"taxnum","arrest_count","arrest_type"
"962199","9","FELONY"
"962199","28","MISDEMEANOR"
"966418","15","FELONY"
"966418","29","MISDEMEANOR"
"949968","118","FELONY"
"949968","133","MISDEMEANOR"
"949968","4","VIOLATION"
"962200","10","FELONY"
"962200","38","MISDEMEANOR"
"949969","1","INFRACTION"
"949969","9","FELONY"
"949969","43","MISDEMEANOR"
"949969","4","VIOLATION"
"952384","5","INFRACTION"
"952384","28","FELONY"
"952384","86","MISDEMEANOR"
"952384","1","VIOLATION"
"952385","21","FELONY"
"952385","72","MISDEMEANOR"
"952385","1","OTHER"
"952385","4","VIOLATION"
"970369","1","FELONY"
"970369","5","MISDEMEANOR"
"969455","4","FELONY"
"969455","6","MISDEMEANOR"
"961595","5","FELONY"
"961595","17","MISDEMEANOR"
"953619","46","FELONY"
"953619","225","MISDEMEANOR"
"953619","18","VIOLATION"
"941316","1","INFRACTION"
"941316","92","FELONY"
"941316","422","MISDEMEANOR"
"941316","16","VIOLATION"
"947703","21","FELONY"
"947703","97","MISDEMEANOR"
"947703","2","OTHER"
"947703","25","VIOLATION"
"941317","44","FELONY"
"941317","70","MISDEMEANOR"
"941317","4","VIOLATION"
"955072","1","INFRACTION"
"955072","26","FELONY"
"955072","82","MISDEMEANOR"
"955072","16","VIOLATION"
"969456","3","FELONY"
"969456","3","MISDEMEANOR"
"933594","1","INFRACTION"
"933594","161","FELONY"
"933594","317","MISDEMEANOR"
"948592","6","FELONY"
"948592","65","MISDEMEANOR"
"948592","2","VIOLATION"
"957315","5","FELONY"
"957315","37","MISDEMEANOR"
"957315","2","VIOLATION"
"949971","6","INFRACTION"
"949971","76","FELONY"
"949971","125","MISDEMEANOR"
"949971","12","OTHER"
"949971","9","VIOLATION"
"934818","44","FELONY"
"934818","590","MISDEMEANOR"
"934818","2","VIOLATION"
"889483","1","INFRACTION"
"889483","36","FELONY"
"889483","68","MISDEMEANOR"
"889483","1","OTHER"
"889483","9","VIOLATION"
"958220","29","FELONY"
"958220","38","MISDEMEANOR"
"958220","1","VIOLATION"
"952386","167","FELONY"
"952386","161","MISDEMEANOR"
"952386","20","VIOLATION"
"970965","6","FELONY"
"970965","4","MISDEMEANOR"
"969457","2","FELONY"
"969457","10","MISDEMEANOR"
"968919","1","INFRACTION"
"968919","3","FELONY"
"968919","13","MISDEMEANOR"
"947964","3","INFRACTION"
"947964","38","FELONY"
"947964","94","MISDEMEANOR"
"947964","7","VIOLATION"
"941318","151","FELONY"
"941318","211","MISDEMEANOR"
"941318","130","VIOLATION"
"954464","4","INFRACTION"
